"name","category","region","type","affiliated_with","designation_sources","page","type_1","type_2","description"
"Al Hijrateyn","Terror","South Asia, Russia","Media Wing","Islamic State","",1,"orgs","terror",NA
"Imbonerakure","Terror","Sub Saharan Africa","","","",1,"orgs","terror",NA
"Sharia 4 Network","Terror","Western Europe","","Al Mujajiroun, Islamic State","",1,"orgs","terror",NA
"1857 Media","Terror","South Asia","Media Wing","Al-Qa'ida in the Indian Subcontinent","",1,"orgs","terror",NA
"19HH","Terror","Western Europe","Media Wing","ISIS","",1,"orgs","terror",NA
"313 Brigade","Terror","South Asia","","","",1,"orgs","terror",NA
"3G Lojistik ve Havacilik Hizmetlari LTD","Terror","Turkey","","Islamic Revolutionary Corps Guard","SDGT",1,"orgs","terror",NA
"AAMAQ media","Terror","Middle East","Media Wing","Islamic State","",1,"orgs","terror",NA
"Abdul Hameed Shahab-ud-Din","Terror","Pakistan","","Lashkar-e Tayyiba","SDGT",1,"orgs","terror",NA
"Aero Skyone Co. Limited","Terror","","","Hezbollah","SDGT",1,"orgs","terror",NA
"Afaq Dubai","Terror","","","Islamic State","SDGT",1,"orgs","terror",NA
"Afri Belg Commercio E Industria LDA","Terror","","","Hezbollah","SDGT",1,"orgs","terror",NA
"Africa Middle East Investment Holding SAL","Terror","","","Hezbollah","SDGT",1,"orgs","terror",NA
"Aircraft, Avionics, Parts & Support LTD.","Terror","UK","","","SDGT",1,"orgs","terror",NA
"Al Khayr Supermarket","Terror","","","al-Qa'ida in the Arabian Peninsula","SDGT",1,"orgs","terror",NA
"Al Nour Radio","Terror","","","Hezbollah","SDGT",1,"orgs","terror",NA
"Al Rahmah Welfare Organization","Terror","Pakistan","","al Qaeda Central Command","SDGT",1,"orgs","terror",NA
"Al-Akhtar Trust International","Terror","Pakistan","","al Qaeda Central Command","SDGT",1,"orgs","terror",NA
"Al-Aqsa Foundation","Terror","","","","",1,"orgs","terror",NA
"Al-Aqsa Islamic Bank","Terror","","","Hamas","SDGT",1,"orgs","terror",NA
"Al-Ard Al-Jadidah Money Exchange Company","Terror","","","Islamic State","SDGT",1,"orgs","terror",NA
"Al-Bakoun Ala Al-Ahd Organization","Terror","","","al Qaeda Central Command","SDGT",1,"orgs","terror",NA
"Al-Bilad Islamic Bank for Investment and Finance P.S.C.","Terror","","","Islamic Revolutionary Corps Guard","SDGT",1,"orgs","terror",NA
"Al-Hamati Sweets Bakery","Terror","","","al Qaeda Central Command","SDGT",1,"orgs","terror",NA
"Al-Inmaa Engineering and Contracting","Terror","","","Hezbollah","SDGT",1,"orgs","terror",NA
"Al-Inmaa for Entertainment and Leisure Projects","Terror","","","Hezbollah","SDGT",1,"orgs","terror",NA
"Al-Itihaad Al-Islamiya","Terror","","","al Qaeda Central Command","SDGT",1,"orgs","terror",NA
"Al-Kawthar Money Exchange","Terror","","","Islamic State","SDGT",1,"orgs","terror",NA
"Al-Mutafaq Commercial Company","Terror","","","Islamic State","SDGT",1,"orgs","terror",NA
"Al-Naser Airlines","Terror","","","Islamic Revolutionary Corps Guard","SDGT",1,"orgs","terror",NA
"Al-Omgy and Brothers Money Exchange","Terror","","","al-Qa'ida in the Arabian Peninsula","SDGT",1,"orgs","terror",NA
"Al-Quds International Foundation","Terror","","","Hamas ","SDGT",2,"orgs","terror",NA
"Al-Salah Society","Terror","","","Hamas ","SDGT",2,"orgs","terror",NA
"Amigo Supermarket Limited","Terror","","","Hezbollah ","SDGT",2,"orgs","terror",NA
"Andisheh Mehvaran Investment Company","Terror","","","Islamic Revolutionary Corps Guard ","SDGT",2,"orgs","terror",NA
"Ansar Information Technology Company","Terror","","","Islamic Revolutionary Corps Guard ","SDGT",2,"orgs","terror",NA
"AQ Muslim Africa Foundation","Terror","Africa","Media Wing","Al-Qaeda in the Islamic Maghreb, al Qaeda Central Command","",2,"orgs","terror",NA
"Ar-Raajje","Terror","","Media Wing","Islamic State","",2,"orgs","terror",NA
"Arian Bank","Terror","Afghanistan","","Islamic Revolutionary Corps Guard ","SDGT",2,"orgs","terror",NA
"Armed Islamic Group","Terror","UK","","al Qaeda Central Command ","SDGT",2,"orgs","terror",NA
"Asian Aviation Logistics Company Limited","Terror","","","Islamic Revolutionary Corps Guard ","SDGT",2,"orgs","terror",NA
"Asma Money Exchangers","Terror","Pakistan","","Lashkar-e Tayyiba ","SDGT",2,"orgs","terror",NA
"Association de Secours Palestiniens","Terror","","","Hamas ","SDGT",2,"orgs","terror",NA
"Asyaf International Holding Group for Trading and Investment","Terror","","","Hamas ","SDGT",2,"orgs","terror",NA
"Atieh Sazan Day","Terror","","","Islamic Revolutionary Corps Guard ","SDGT",2,"orgs","terror",NA
"Atlas Doviz Ticareti A.S.","Terror","Turkey","","Islamic Revolutionary Corps Guard ","SDGT",2,"orgs","terror",NA
"Atlas Exchange","Terror","","","Islamic Revolutionary Corps Guard ","SDGT",2,"orgs","terror",NA
"Avia Trust FZE","Terror","","","Islamic Revolutionary Corps Guard ","SDGT",2,"orgs","terror",NA
"Aviation Capital Solutions LTD.","Terror","UK","","Islamic Revolutionary Corps Guard ","SDGT",2,"orgs","terror",NA
"Abaa News Agency","Terror","Middle East, North Africa","Media Wing","Hayyat Tahrir Al-Sham","",2,"orgs","terror",NA
"Abd al-Faqir Media","Terror","Middle East, North Africa","Media Wing","Islamic State","",2,"orgs","terror",NA
"Abdallah Azzam Brigades","Terror","Middle East, North Africa","","al Qaeda Central Command","",2,"orgs","terror",NA
"Abo Aous Al Ansari","Terror","Middle East, North Africa","Media Wing","Islamic State","",2,"orgs","terror",NA
"Abo Az-Zber Al Turky","Terror","Middle East, North Africa","Media Wing","Islamic State","",2,"orgs","terror",NA
"Abou Al Meqdam","Terror","Middle East, North Africa","Media Wing","Islamic State","",2,"orgs","terror",NA
"Abou Aous Al Muhajer","Terror","Middle East, North Africa","Media Wing","Islamic State","",2,"orgs","terror",NA
"Abu Ahmed Foundation","Terror","South Asia","","","",2,"orgs","terror",NA
"Abu Al-Abbas Brigades","Terror","Middle East","","al-Qa'ida in the Arabian Peninsula","",2,"orgs","terror",NA
"Abu Allaith","Terror","Middle East, North Africa","Media Wing","Islamic State","",2,"orgs","terror",NA
"Abu Bakr Al Turkmani","Terror","Middle East, North Africa","Media Wing","Islamic State","",2,"orgs","terror",NA
"Abu Hutn","Terror","","Media Wing","","",2,"orgs","terror",NA
"Abu Hutun Al Jinabi","Terror","","Media Wing","Islamic State","",2,"orgs","terror",NA
"Abu Sayyaf Group","Terror","South East Asia","","Islamic State","",2,"orgs","terror",NA
"Abu-Jihad","Terror","Middle East, North Africa","Media Wing","Islamic State","",2,"orgs","terror",NA
"Afaaq","Terror","Middle East, North Africa","","Islamic State","",2,"orgs","terror",NA
"Afriquia Al Mosslima","Terror","Middle East, North Africa","Media Wing","Al-Qaeda in the Islamic Maghreb, al Qaeda Central Command","",2,"orgs","terror",NA
"Afzal Guru Squad","Terror","South Asia","","Jaish-e-Mohammed Kashmir","",2,"orgs","terror",NA
"Ahlut-Tawhid","Terror","Middle East, North Africa","Media Wing","Islamic State","",2,"orgs","terror",NA
"Ahrar Al-Sharqiya","Terror","Middle East, North Africa","","","",2,"orgs","terror",NA
"Ahrar al Sham","Terror","Middle East, North Africa","","","",2,"orgs","terror",NA
"Ahwaal Ummat Media Center","Terror","South Asia","Media Wing","Islamic State","",2,"orgs","terror",NA
"Ajnad Kavkaz","Terror","Middle East, North Africa","","","",2,"orgs","terror",NA
"Ajnad Media","Terror","Middle East, North Africa","Media Wing","Islamic State","",2,"orgs","terror",NA
"Ajnad Misr","Terror","Middle East, North Africa","","","",2,"orgs","terror",NA
"Ajnad al Sham","Terror","Middle East, North Africa","","","",2,"orgs","terror",NA
"Ajnad al-Sham Islamic Union","Terror","Middle East, North Africa","","","",2,"orgs","terror",NA
"Al Guraba Media","Terror","South Asia","Media Wing","Islamic State","",3,"orgs","terror",NA
"Al Aahid Media Agency","Terror","Middle East, North Africa","Media Wing","Shura Council of Mujahideen Dema","",3,"orgs","terror",NA
"Al Alam Media","Terror","India","Media Wing","Ansar Ghazwat-Ul-Hind","",3,"orgs","terror",NA
"Al Andalus Media","Terror","Middle East, North Africa","Media Wing","Al-Qaeda in the Islamic Maghreb, al Qaeda Central Command","",3,"orgs","terror",NA
"Al Andaluzia Publicaciones","Terror","Western Europe","Media Wing","Islamic State","",3,"orgs","terror",NA
"Al Ansar Bank","Terror","Middle East, North Africa","","Islamic State","",3,"orgs","terror",NA
"Al Ansar Editor","Terror","Middle East, North Africa","Media Wing","Islamic State","",3,"orgs","terror",NA
"Al Aqsa Media","Terror","South Asia","Media Wing","Hizbul Mujahideen","",3,"orgs","terror",NA
"Al Aqsa TV","Terror","Middle East, North Africa","Media Wing","Hamas","",3,"orgs","terror",NA
"Al Asawarti Media","Terror","Middle East, North Africa","Media Wing","Islamic State","",3,"orgs","terror",NA
"Al Badr Media","Terror","Middle East, North Africa","Media Wing","al-Qa'ida in the Arabian Peninsula","",3,"orgs","terror",NA
"Al Baraa Al Hifawi","Terror","Middle East, North Africa","Media Wing","Islamic State","",3,"orgs","terror",NA
